AST Similarity,Token Similarity,Levenshtein Similarity,Length File 1,Length File 2,Function Count File 1,Function Count File 2,Variable Count File 1,Variable Count File 2,Comment Ratio File 1,Comment Ratio File 2,Cyclomatic Complexity File 1,Cyclomatic Complexity File 2,Label
1.0,1.0,1.0,2,2,1,1,4,4,0.0,0.0,1,1,1
0.0,0.9411764705882353,0.7837837837837838,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.47619047619047616,0.5576923076923077,2,3,1,1,4,5,0.0,0.0,1,1,1
0.0,0.9411764705882353,0.7567567567567568,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.9411764705882353,0.7837837837837838,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.47619047619047616,0.5576923076923077,2,3,1,1,4,5,0.0,0.0,1,1,1
0.0,0.9411764705882353,0.7567567567567568,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.47619047619047616,0.40384615384615385,2,3,1,1,4,5,0.0,0.0,1,1,0
0.0,0.9411764705882353,0.8108108108108107,2,2,1,1,4,4,0.0,0.0,1,1,0
0.0,0.47619047619047616,0.3846153846153846,3,2,1,1,5,4,0.0,0.0,1,1,0
0.0,1.0,0.7878787878787878,10,10,1,1,9,8,0.0,0.0,4,4,1
0.0,1.0,0.7888198757763976,8,8,1,1,10,9,0.0,0.0,2,2,1
0.0,0.10869565217391304,0.30000000000000004,6,7,1,1,4,6,0.0,0.0,1,2,0
0.0,0.4444444444444444,0.5448275862068965,7,7,1,1,4,6,0.0,0.0,2,2,0
0.0,1.0,0.7722007722007722,21,21,2,2,19,21,0.0,0.0,6,6,1
0.0,0.1282051282051282,0.6305970149253731,25,26,3,3,20,24,0.0,0.0,6,7,0
0.0,0.9918367346938776,0.7858921161825726,38,38,5,5,31,36,0.0,0.0,8,8,1
0.0,0.9968553459119497,0.7487711632987439,48,48,6,6,45,42,0.0,0.0,9,9,1
0.0,0.2427536231884058,0.769023569023569,40,41,5,5,38,38,0.0,0.0,8,8,0
0.0,0.9914285714285714,0.7077137546468402,57,57,6,6,40,52,0.0,0.0,10,10,1
0.0,1.0,0.7535744322960471,48,48,4,4,30,32,0.125,0.125,2,2,1
0.0,1.0,0.8063021316033364,29,29,3,3,27,31,0.13793103448275862,0.13793103448275862,2,2,1
0.0,0.1016949152542373,0.7746478873239436,15,17,2,2,18,18,0.0,0.0,4,5,0
1.0,1.0,1.0,17,17,2,2,18,18,0.0,0.0,5,5,1
0.0,0.09268292682926829,0.5736160188457009,21,31,3,4,16,20,0.0,0.0,5,7,1
0.0,0.047619047619047616,0.6211293260473588,22,24,3,3,17,18,0.0,0.0,7,7,0
0.0,0.9931506849315068,0.7719298245614035,22,22,3,3,17,16,0.0,0.0,7,7,1
0.0,0.047619047619047616,0.48998178506375223,24,22,3,3,18,16,0.0,0.0,7,7,0
0.0,0.13636363636363635,0.4928825622775801,22,16,3,2,17,20,0.0,0.0,7,5,0
0.0,0.08928571428571429,0.4537366548042705,24,16,3,2,18,20,0.0,0.0,7,5,0
0.0,0.13636363636363635,0.39145907473309605,22,16,3,2,16,20,0.0,0.0,7,5,0
0.0,1.0,0.7350096711798839,22,22,3,3,17,17,0.0,0.0,7,7,1
0.0,0.047619047619047616,0.47540983606557374,24,22,3,3,18,17,0.0,0.0,7,7,0
0.0,0.9931506849315068,0.7272727272727273,22,22,3,3,16,17,0.0,0.0,7,7,0
0.0,0.13636363636363635,0.3861209964412812,16,22,2,3,20,17,0.0,0.0,5,7,0
0.0,0.03529411764705882,0.8444790046656299,22,24,3,3,11,17,0.0,0.0,3,3,0
0.0,1.0,0.838006230529595,22,22,3,3,11,15,0.0,0.0,3,3,1
0.0,0.03529411764705882,0.7791601866251944,24,22,3,3,17,15,0.0,0.0,3,3,0
0.0,0.030973451327433628,0.6599326599326599,22,30,3,4,11,16,0.0,0.0,3,5,0
0.0,0.05752212389380531,0.6846240179573513,24,30,3,4,17,16,0.0,0.0,3,5,0
0.0,0.030973451327433628,0.6094276094276094,22,30,3,4,15,16,0.0,0.0,3,5,0
0.0,0.9940119760479041,0.7346938775510203,22,22,3,3,11,16,0.0,0.0,3,3,1
0.0,0.03529411764705882,0.6690962099125364,24,22,3,3,17,16,0.0,0.0,3,3,0
0.0,0.9940119760479041,0.7186588921282799,22,22,3,3,15,16,0.0,0.0,3,3,0
0.0,0.030973451327433628,0.5308641975308642,30,22,4,3,16,16,0.0,0.0,5,3,0
0.0,0.5058823529411764,0.7215189873417722,23,22,4,4,19,16,0.0,0.0,5,4,0
0.0,0.3620689655172414,0.7524204702627939,23,24,4,4,19,19,0.0,0.0,5,5,1
0.0,0.3390804597701149,0.5947441217150761,22,24,4,4,16,19,0.0,0.0,4,5,0
0.0,0.7705882352941177,0.749648382559775,23,24,4,4,19,17,0.0,0.0,5,7,0
0.0,0.5058823529411764,0.658465991316932,22,24,4,4,16,17,0.0,0.0,4,7,0
0.0,0.20689655172413793,0.6251728907330567,24,24,4,4,19,17,0.0,0.0,5,7,0
0.0,0.3620689655172414,0.7805907172995781,23,24,4,4,19,19,0.0,0.0,5,5,0
0.0,0.3390804597701149,0.7015151515151515,22,24,4,4,16,19,0.0,0.0,4,5,0
0.0,0.9942528735632183,0.715076071922545,24,24,4,4,19,19,0.0,0.0,5,5,1
0.0,0.20689655172413793,0.6903039073806079,24,24,4,4,17,19,0.0,0.0,7,5,0
0.0,0.050793650793650794,0.43034482758620685,45,28,5,5,23,21,0.0,0.0,8,2,0
0.0,0.21587301587301588,0.7220689655172414,45,42,5,5,23,23,0.0,0.0,8,7,1
0.0,0.06779661016949153,0.43570347957639943,28,42,5,5,21,23,0.0,0.0,2,7,0
0.0,0.11369509043927649,0.4387254901960784,45,50,5,8,23,28,0.0,0.0,8,7,0
0.0,0.06201550387596899,0.3131127450980392,28,50,5,8,21,28,0.0,0.0,2,7,0
0.0,0.09819121447028424,0.4338235294117647,42,50,5,8,23,28,0.0,0.0,7,7,0
0.0,0.2761904761904762,0.703448275862069,45,37,5,5,23,28,0.0,0.0,8,6,0
0.0,0.0944055944055944,0.4101346001583531,28,37,5,5,21,28,0.0,0.0,2,6,0
0.0,0.22372881355932203,0.6550680786686838,42,37,5,5,23,28,0.0,0.0,7,6,1
0.0,0.08527131782945736,0.428921568627451,50,37,8,5,28,28,0.0,0.0,7,6,0
0.0,0.28413284132841327,0.7519623233908949,37,44,5,5,23,25,0.0,0.0,4,7,0
0.0,0.06770833333333333,0.3792255685310387,37,56,5,8,23,25,0.0,0.0,4,7,0
0.0,0.09114583333333333,0.42163491087891825,44,56,5,8,25,25,0.0,0.0,7,7,0
0.0,0.3614457831325301,0.8209205020920503,37,39,5,5,23,23,0.0,0.0,4,5,1
0.0,0.25461254612546125,0.7755102040816326,44,39,5,5,25,23,0.0,0.0,7,5,0
0.0,0.0703125,0.3853718500307314,56,39,8,5,25,23,0.0,0.0,7,5,0
0.0,0.27636363636363637,0.7062761506276151,37,45,5,7,23,21,0.0,0.0,4,5,0
0.0,0.3381818181818182,0.6781789638932496,44,45,5,7,25,21,0.0,0.0,7,5,0
0.0,0.0625,0.35955746773202213,56,45,8,7,25,21,0.0,0.0,7,5,0
0.0,0.24727272727272728,0.6883445945945945,39,45,5,7,23,21,0.0,0.0,5,5,0
0.0,0.27205882352941174,0.6416139240506329,37,45,5,5,23,26,0.0,0.0,4,7,0
0.0,0.7904411764705882,0.750392464678179,44,45,5,5,25,26,0.0,0.0,7,7,1
0.0,0.08854166666666667,0.4031960663798402,56,45,8,5,25,26,0.0,0.0,7,7,0
0.0,0.2536764705882353,0.6875,39,45,5,5,23,26,0.0,0.0,5,7,0
0.0,0.33454545454545453,0.6028481012658228,45,45,7,5,21,26,0.0,0.0,5,7,0
0.0,0.6620370370370371,0.8323320589841616,55,51,5,5,28,27,0.0,0.0,5,5,1
0.2,0.2986111111111111,0.874385581649372,55,55,5,5,28,30,0.0,0.0,5,5,0
0.0,0.1736111111111111,0.7408839779005525,51,55,5,5,27,30,0.0,0.0,5,5,0
0.0,0.156312625250501,0.6025763358778626,55,59,5,7,28,31,0.0,0.0,5,4,0
0.0,0.1342685370741483,0.6307251908396947,51,59,5,7,27,31,0.0,0.0,5,4,0
0.0,0.15030060120240482,0.5682251908396947,55,59,5,7,30,31,0.0,0.0,5,4,0
0.0,0.17592592592592593,0.7613326051338066,55,49,5,5,28,25,0.0,0.0,5,3,0
0.0,0.16346153846153846,0.7890222984562607,51,49,5,5,27,25,0.0,0.0,5,3,0
0.0,0.09490740740740741,0.685635359116022,55,49,5,5,30,25,0.0,0.0,5,3,0
0.0,0.156312625250501,0.6302480916030535,59,49,7,5,31,25,0.0,0.0,4,3,0
0.0,0.17592592592592593,0.7214636810486073,55,49,5,5,28,26,0.0,0.0,5,3,0
0.0,0.16346153846153846,0.7878787878787878,51,49,5,5,27,26,0.0,0.0,5,3,0
0.0,0.09490740740740741,0.6591160220994475,55,49,5,5,30,26,0.0,0.0,5,3,0
0.0,0.156312625250501,0.6083015267175573,59,49,7,5,31,26,0.0,0.0,4,3,0
0.0,0.9975369458128078,0.9019488428745432,49,49,5,5,25,26,0.0,0.0,3,3,1
0.0,0.23157894736842105,0.5794979079497908,56,79,8,11,20,24,0.0,0.0,4,5,1
0.0,0.0960591133004926,0.4994413407821229,56,43,8,6,20,14,0.0,0.0,4,5,0
0.0,0.07719298245614035,0.3832635983263598,79,43,11,6,24,14,0.0,0.0,5,5,0
0.0,0.07881773399014778,0.4849162011173185,56,32,8,5,20,9,0.0,0.0,4,4,0
0.0,0.05087719298245614,0.34602510460251046,79,32,11,5,24,9,0.0,0.0,5,4,0
0.0,0.049315068493150684,0.508,43,32,6,5,14,9,0.0,0.0,5,4,0
0.2727272727272727,0.11971830985915492,0.5389940009229349,56,79,8,11,20,27,0.0,0.0,4,5,0
0.0,0.41754385964912283,0.5874476987447699,79,79,11,11,24,27,0.0,0.0,5,5,0
0.0,0.07394366197183098,0.41993539455468387,43,79,6,11,14,27,0.0,0.0,5,5,0
0.0,0.051056338028169015,0.3105676049838486,32,79,5,11,9,27,0.0,0.0,4,5,0
0.0,0.07103825136612021,0.3871576959395656,56,70,8,9,20,14,0.0,0.0,4,8,0
0.0,0.0912280701754386,0.3686192468619247,79,70,11,9,24,14,0.0,0.0,5,8,0
0.0,0.060109289617486336,0.48394711992445705,43,70,6,9,14,14,0.0,0.0,5,8,0
0.0,0.04189435336976321,0.40793201133144474,32,70,5,9,9,14,0.0,0.0,4,8,0
0.0,0.10387323943661972,0.33733271804337794,79,70,11,9,27,14,0.0,0.0,5,8,0
0.5454545454545454,0.23839662447257384,0.6741397288842544,45,67,8,11,21,25,0.0,0.0,4,5,1
0.0,0.07159353348729793,0.3295924394565859,45,53,8,7,21,26,0.0,0.0,4,7,0
0.0,0.10548523206751055,0.3795620437956204,67,53,11,7,25,26,0.0,0.0,5,7,0
0.0,0.09567901234567901,0.38858905165767155,45,41,8,6,21,20,0.0,0.0,4,5,0
0.0,0.0759493670886076,0.39728884254431696,67,41,11,6,25,20,0.0,0.0,5,5,0
0.2857142857142857,0.057736720554272515,0.5540460720614294,53,41,7,6,26,20,0.0,0.0,7,5,0
0.5555555555555556,0.18571428571428572,0.8690744920993227,46,52,8,9,15,15,0.0,0.0,4,4,1
0.0,0.07758620689655173,0.40384615384615385,46,46,8,6,15,12,0.0,0.0,4,7,0
0.0,0.09714285714285714,0.3696581196581197,52,46,9,6,15,12,0.0,0.0,4,7,0
0.0,0.08033240997229917,0.4108761329305136,46,50,8,7,15,11,0.0,0.0,4,7,0
0.0,0.05263157894736842,0.3536493604213694,52,50,9,7,15,11,0.0,0.0,4,7,0
0.2857142857142857,0.20498614958448755,0.6581196581196581,46,50,6,7,12,11,0.0,0.0,7,7,0
0.2727272727272727,0.15208333333333332,0.5902738960313024,46,70,8,11,15,19,0.0,0.0,4,5,0
0.5454545454545454,0.3416666666666667,0.6813862493012857,52,70,9,11,15,19,0.0,0.0,4,5,1
0.0,0.052083333333333336,0.36668529904974845,46,70,6,11,12,19,0.0,0.0,7,5,0
0.0,0.06458333333333334,0.4477361654555617,50,70,7,11,11,19,0.0,0.0,7,5,0
0.0,0.4166666666666667,0.7248803827751196,15,17,2,2,9,10,0.0,0.0,5,5,1
0.0,0.1111111111111111,0.6318537859007833,15,17,2,2,9,11,0.0,0.0,5,4,0
0.0,0.16428571428571428,0.6411483253588517,17,17,2,2,10,11,0.0,0.0,5,4,0
0.0,0.19745222929936307,0.7133620689655172,15,19,2,2,9,14,0.0,0.0,5,6,1
0.0,0.28662420382165604,0.6594827586206897,17,19,2,2,10,14,0.0,0.0,5,6,0
0.0,0.11464968152866242,0.6077586206896552,17,19,2,2,11,14,0.0,0.0,4,6,0
0.0,0.0984251968503937,0.34827586206896555,15,37,2,2,9,12,0.0,0.0,5,7,0
0.0,0.09055118110236221,0.364367816091954,17,37,2,2,10,12,0.0,0.0,5,7,0
0.0,0.09055118110236221,0.367816091954023,17,37,2,2,11,12,0.0,0.0,4,7,0
0.0,0.07086614173228346,0.39655172413793105,19,37,2,2,14,12,0.0,0.0,6,7,0
0.0,0.0,0.0,0,33,0,3,0,12,0.0,0.0,1,7,0
0.0,0.07865168539325842,0.32649572649572645,17,27,2,2,12,15,0.0,0.0,3,4,0
0.0,0.08487084870848709,0.33098591549295775,33,27,3,2,12,15,0.0,0.0,7,4,0
0.0,0.09259259259259259,0.32079207920792074,17,23,2,2,12,12,0.0,0.0,3,4,0
0.0,0.06273062730627306,0.33380281690140845,33,23,3,2,12,12,0.0,0.0,7,4,0
0.0,0.17415730337078653,0.6735042735042736,27,23,2,2,15,12,0.0,0.0,4,4,1
0.0,0.0992063492063492,0.2830769230769231,17,35,2,2,12,21,0.0,0.0,3,6,0
0.0,0.07380073800738007,0.3220512820512821,33,35,3,2,12,21,0.0,0.0,7,6,0
0.0,0.03968253968253968,0.4143589743589744,27,35,2,2,15,21,0.0,0.0,4,6,0
0.0,0.03968253968253968,0.3733333333333333,23,35,2,2,12,21,0.0,0.0,4,6,0
0.0,0.8632478632478633,0.7869742198100407,35,35,7,7,9,9,0.0,0.0,4,4,1
0.0,0.09696969696969697,0.35035349567949725,35,54,7,6,9,16,0.0,0.0,4,10,0
0.0,0.12121212121212122,0.3534956794972506,35,54,7,6,9,16,0.0,0.0,4,10,0
0.0,0.07329842931937172,0.3096514745308311,35,60,7,6,9,15,0.0,0.0,4,13,0
0.0,0.07068062827225131,0.3130026809651475,35,60,7,6,9,15,0.0,0.0,4,13,0
0.16666666666666666,0.1518324607329843,0.8371313672922251,54,60,6,6,16,15,0.0,0.0,10,13,1
0.0,0.15510204081632653,0.37569060773480667,35,35,7,4,9,12,0.0,0.0,4,5,0
0.0,0.1346938775510204,0.38127544097693356,35,35,7,4,9,12,0.0,0.0,4,5,0
0.0,0.1484848484848485,0.3589945011783189,54,35,6,4,16,12,0.0,0.0,10,5,0
0.0,0.13350785340314136,0.3203753351206434,60,35,6,4,15,12,0.0,0.0,13,5,0
0.0,0.0,0.0,0,13,0,2,0,12,0.0,0.0,1,2,1
0.0,0.0,0.0,0,12,0,2,0,8,0.0,0.0,1,2,0
0.0,0.17647058823529413,0.5707865168539326,13,12,2,2,12,8,0.0,0.0,2,2,0
0.0,0.0,0.0,0,28,0,2,0,13,0.0,0.0,1,3,1
0.0,0.05,0.25149190110826936,13,28,2,2,12,13,0.0,0.0,2,3,0
0.0,0.05,0.2028985507246377,12,28,2,2,8,13,0.0,0.0,2,3,0
0.0,0.0,0.0,0,20,0,2,0,13,0.0,0.0,1,4,0
0.0,0.1323529411764706,0.48327759197324416,13,20,2,2,12,13,0.0,0.0,2,4,0
